time,batVoltage,batCurrent,solarVoltage,solarCurrent,loadVoltage,loadCurrent
14:38:13.046,3885.00,0.00,2.50,0.00,3262.50,0.00
14:38:13.300,3885.00,0.00,2.50,-1.25,3262.50,-1.25
14:38:13.555,3885.00,-1.25,1.25,-2.50,3262.50,1.25
14:38:13.810,3861.25,0.00,0.00,0.00,3236.25,-1.25
14:38:14.065,3883.75,0.00,1.25,0.00,3260.00,-1.25
14:38:14.320,3885.00,0.00,1.25,-1.25,3261.25,0.00
14:38:14.575,3883.75,0.00,1.25,0.00,3261.25,0.00
14:38:14.862,3883.75,-1.25,1.25,1.25,3262.50,-1.25
14:38:15.084,3885.00,-1.25,1.25,-1.25,3262.50,-1.25
14:38:15.339,3883.75,0.00,0.00,0.00,3262.50,-1.25
14:38:15.594,3883.75,0.00,1.25,-1.25,3262.50,0.00
14:38:15.848,3883.75,-1.25,1.25,0.00,3261.25,0.00
14:38:16.216,3862.50,0.00,1.25,0.00,3238.75,0.00
14:38:16.358,3861.25,0.00,1.25,0.00,3236.25,0.00
14:38:16.613,3882.50,0.00,0.00,-1.25,3261.25,1.25
14:38:16.867,3885.00,-1.25,1.25,0.00,3261.25,0.00
14:38:17.156,3883.75,-1.25,1.25,-1.25,3261.25,0.00
14:38:17.377,3883.75,-1.25,1.25,0.00,3261.25,-1.25
14:38:17.653,3883.75,0.00,1.25,0.00,3263.75,0.00
14:38:17.887,3883.75,1.25,1.25,-1.25,3261.25,0.00
14:38:18.208,3885.00,-1.25,1.25,-1.25,3261.25,0.00
14:38:18.396,3882.50,0.00,0.00,0.00,3262.50,0.00
14:38:18.651,3863.75,-1.25,1.25,0.00,3237.50,-1.25
14:38:18.906,3883.75,-1.25,1.25,0.00,3262.50,0.00
14:38:19.216,3883.75,0.00,1.25,0.00,3263.75,-1.25
14:38:19.416,3882.50,0.00,1.25,0.00,3262.50,0.00
14:38:19.670,3882.50,0.00,1.25,-2.50,3260.00,0.00
14:38:19.925,3885.00,0.00,0.00,0.00,3262.50,-1.25
14:38:20.215,3882.50,-1.25,1.25,0.00,3262.50,0.00
14:38:20.448,3883.75,-1.25,0.00,-2.50,3262.50,0.00
14:38:20.690,3882.50,-1.25,1.25,0.00,3262.50,1.25
14:38:20.944,3862.50,0.00,0.00,-1.25,3237.50,1.25
14:38:21.199,3861.25,0.00,0.00,0.00,3238.75,0.00
14:38:21.454,3883.75,0.00,1.25,1.25,3262.50,0.00
14:38:21.709,3883.75,0.00,1.25,0.00,3261.25,0.00
14:38:21.963,3883.75,0.00,1.25,-1.25,3261.25,0.00
14:38:22.218,3882.50,-1.25,1.25,-1.25,3262.50,0.00
14:38:22.473,3885.00,0.00,0.00,-2.50,3262.50,0.00
14:38:22.728,3882.50,-2.50,0.00,1.25,3263.75,0.00
14:38:22.982,3883.75,0.00,0.00,0.00,3263.75,-1.25
14:38:23.241,3883.75,-1.25,1.25,0.00,3261.25,1.25
14:38:23.492,3862.50,1.25,1.25,0.00,3237.50,0.00
14:38:23.747,3881.25,-1.25,1.25,1.25,3262.50,-1.25
14:38:24.002,3882.50,1.25,0.00,0.00,3261.25,-1.25
14:38:24.256,3883.75,0.00,0.00,-1.25,3261.25,0.00
14:38:24.511,3882.50,0.00,1.25,0.00,3263.75,-1.25
14:38:24.766,3882.50,-1.25,0.00,0.00,3263.75,1.25
14:38:25.053,3882.50,0.00,0.00,0.00,3262.50,0.00
14:38:25.276,3885.00,1.25,0.00,-1.25,3262.50,1.25
14:38:25.530,3883.75,0.00,0.00,-1.25,3261.25,-1.25
14:38:25.785,3862.50,1.25,0.00,0.00,3237.50,0.00
14:38:26.051,3861.25,-1.25,1.25,-1.25,3237.50,-1.25
14:38:26.295,3882.50,0.00,1.25,-1.25,3261.25,0.00
14:38:26.550,3882.50,1.25,0.00,-1.25,3261.25,1.25
14:38:26.805,3882.50,0.00,1.25,1.25,3262.50,-1.25
14:38:27.059,3882.50,-1.25,1.25,0.00,3261.25,0.00
14:38:27.314,3881.25,0.00,0.00,0.00,3262.50,0.00
14:38:27.569,3883.75,0.00,0.00,0.00,3262.50,1.25
14:38:27.857,3883.75,0.00,1.25,-1.25,3260.00,-1.25
14:38:28.078,3882.50,0.00,1.25,-1.25,3237.50,0.00
14:38:28.333,3860.00,0.00,0.00,-1.25,3238.75,1.25
14:38:28.588,3881.25,1.25,0.00,-1.25,3262.50,0.00
14:38:28.846,3881.25,-1.25,0.00,0.00,3261.25,0.00
14:38:29.215,3882.50,1.25,1.25,0.00,3261.25,0.00
14:38:29.352,3882.50,-1.25,1.25,0.00,3262.50,0.00
14:38:29.607,3882.50,-1.25,0.00,-1.25,3262.50,-1.25
14:38:29.862,3882.50,0.00,1.25,0.00,3260.00,-1.25
14:38:30.220,3882.50,0.00,1.25,-1.25,3261.25,0.00
14:38:30.371,3881.25,-1.25,0.00,-1.25,3261.25,1.25
14:38:30.653,3860.00,0.00,1.25,-1.25,3237.50,0.00
14:38:30.881,3858.75,-1.25,0.00,-1.25,3240.00,0.00
14:38:31.219,3882.50,1.25,1.25,0.00,3261.25,0.00
14:38:31.391,3881.25,-1.25,1.25,0.00,3261.25,-1.25
14:38:31.654,3881.25,1.25,1.25,-1.25,3261.25,0.00
14:38:31.900,3881.25,-1.25,2.50,0.00,3261.25,1.25
14:38:32.213,3882.50,0.00,1.25,0.00,3261.25,0.00
14:38:32.410,3882.50,0.00,1.25,-1.25,3261.25,0.00
14:38:32.665,3883.75,-1.25,1.25,1.25,3262.50,0.00
14:38:32.920,3860.00,0.00,1.25,0.00,3238.75,-1.25
14:38:33.218,3858.75,0.00,1.25,1.25,3237.50,1.25
14:38:33.442,3880.00,0.00,1.25,0.00,3261.25,1.25
14:38:33.684,3880.00,-1.25,1.25,-1.25,3261.25,0.00
14:38:33.939,3881.25,0.00,2.50,-1.25,3261.25,0.00
14:38:34.212,3881.25,-1.25,1.25,-1.25,3261.25,-1.25
14:38:34.448,3880.00,0.00,1.25,0.00,3262.50,0.00
14:38:34.703,3881.25,1.25,1.25,0.00,3261.25,0.00
14:38:34.958,3881.25,0.00,0.00,-2.50,3262.50,0.00
14:38:35.213,3881.25,0.00,1.25,0.00,3262.50,0.00
14:38:35.468,3858.75,0.00,1.25,1.25,3238.75,1.25
14:38:35.722,3878.75,0.00,1.25,1.25,3262.50,0.00
14:38:35.977,3878.75,0.00,2.50,0.00,3263.75,1.25
14:38:36.232,3880.00,0.00,0.00,-1.25,3261.25,0.00
14:38:36.487,3880.00,0.00,0.00,1.25,3261.25,0.00
14:38:36.741,3881.25,0.00,0.00,0.00,3261.25,0.00
14:38:36.996,3881.25,0.00,1.25,0.00,3263.75,0.00
14:38:37.264,3881.25,0.00,1.25,0.00,3262.50,1.25
14:38:37.506,3881.25,0.00,1.25,0.00,3261.25,0.00
14:38:37.760,3860.00,-1.25,1.25,-1.25,3237.50,-1.25
14:38:38.015,3857.50,-1.25,1.25,0.00,3237.50,0.00
