16:38:07.440 -> Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
17:32:43.046 -> 0.0000000,0.0000000,-17.000,243.67,-0.01,0.02,-0.02,0.0,0.0,0.0,-512.0,91.8,512.0,0.01123,0.01837,-0.97772,0.20875,48.36,984.3,11.81,49,7,65.5,111,1,1,1,1,0,1,1,0,11998,-58.0,12.5
17:33:13.844 -> 0.0000000,0.0000000,-17.000,243.62,0.02,-0.02,-0.02,0.0,0.0,0.0,-512.0,92.9,512.0,0.01105,0.01813,-0.97760,0.20954,48.36,984.3,11.81,50,7,65.5,111,1,1,1,1,0,1,1,0,24540,-61.0,9.8
17:33:45.033 -> 0.0000000,0.0000000,-17.000,243.88,0.02,0.02,0.00,0.0,0.0,0.0,-512.0,93.3,512.0,0.01086,0.01825,-0.97790,0.20789,48.16,984.3,11.89,51,7,65.5,111,1,1,1,1,0,1,1,0,11241,-60.0,10.0
17:33:45.963 -> 0.0000000,0.0000000,-17.000,237.09,-0.03,0.00,0.00,0.0,0.0,0.0,76.0,240.7,-512.0,0.01788,0.02081,0.98169,0.18842,28.15,985.1,40.54,142,2,32.5,111,1,1,1,1,0,1,1,0,4521,-76.0,10.8
17:34:15.817 -> 0.0000000,0.0000000,-17.000,243.68,-0.02,-0.02,0.02,0.0,0.0,0.0,-512.0,92.5,512.0,0.01093,0.01801,-0.97790,0.20801,47.50,984.3,12.29,52,7,65.5,111,1,1,1,1,0,1,1,0,40735,-59.0,10.0
17:34:49.843 -> 0.0000000,0.0000000,-17.000,243.76,-0.01,0.02,-0.02,-0.1,-0.1,0.0,-512.0,93.5,512.0,0.01099,0.01807,-0.97809,0.20716,47.48,984.3,12.24,53,7,66.0,111,1,1,1,1,0,1,1,0,15501,-59.0,11.0
17:35:21.823 -> 0.0000000,0.0000000,-17.000,243.93,-0.01,-0.02,0.00,0.0,0.0,0.0,-512.0,93.9,512.0,0.01141,0.01837,-0.97815,0.20679,47.47,984.3,12.32,54,7,66.0,111,1,1,1,1,0,1,1,0,37622,-59.0,11.3
17:35:47.036 -> 0.0000000,0.0000000,-17.000,237.29,0.01,0.00,0.00,0.0,0.0,0.0,77.5,240.7,-512.0,0.01788,0.02069,0.98096,0.19233,27.83,985.1,40.72,143,2,31.5,111,1,1,1,1,0,1,1,0,26604,-76.0,9.5
17:35:53.024 -> 0.0000000,0.0000000,-17.000,243.60,0.03,-0.02,-0.02,0.0,0.0,0.0,-512.0,93.9,512.0,0.01123,0.01801,-0.97784,0.20814,47.28,984.3,12.36,55,7,66.0,111,1,1,1,1,0,1,1,0,25634,-59.0,10.5
17:36:23.848 -> 0.0000000,0.0000000,-17.000,243.31,-0.01,0.02,-0.02,0.0,0.0,0.0,-512.0,94.6,512.0,0.01135,0.01788,-0.97754,0.20966,47.67,984.4,12.16,56,7,66.0,111,1,1,1,1,0,1,1,0,35461,-60.0,10.0
17:36:55.021 -> 0.0000000,0.0000000,-17.000,243.31,-0.01,0.02,-0.01,0.0,0.0,0.0,-512.0,92.8,512.0,0.01154,0.01807,-0.97778,0.20862,47.79,984.4,12.05,57,7,66.5,111,1,1,1,1,0,1,1,0,62161,-58.0,12.8
17:37:29.797 -> 0.0000000,0.0000000,-17.000,243.59,0.02,-0.01,-0.02,0.0,0.0,0.0,-512.0,92.9,512.0,0.01154,0.01807,-0.97778,0.20862,48.05,984.3,11.92,58,7,66.5,111,1,1,1,1,0,1,1,0,4573,-58.0,12.5
17:37:47.941 -> 0.0000000,0.0000000,-17.000,237.36,0.00,0.00,0.01,0.0,0.0,0.0,76.8,241.1,-512.0,0.01813,0.02057,0.97864,0.20368,27.89,985.1,40.73,144,2,30.5,111,1,1,1,1,0,1,1,0,47941,-72.0,12.8
17:38:00.792 -> 0.0000000,0.0000000,-17.000,243.35,-0.01,-0.02,-0.01,0.0,0.0,0.0,-512.0,92.6,512.0,0.01141,0.01807,-0.97784,0.20832,48.10,984.4,11.89,59,7,66.5,111,1,1,1,1,0,1,1,0,64673,-58.0,12.5
17:38:31.825 -> 0.0000000,0.0000000,-17.000,243.45,-0.01,-0.02,-0.01,0.0,0.0,0.0,-512.0,93.6,512.0,0.01154,0.01831,-0.97790,0.20801,48.02,984.3,11.93,60,7,66.5,111,1,1,1,1,0,1,1,0,51846,-59.0,12.0
17:39:03.024 -> 0.0000000,0.0000000,-17.000,243.54,-0.01,0.04,-0.01,0.0,0.0,0.0,-512.0,91.4,512.0,0.01123,0.01825,-0.97778,0.20856,48.04,984.3,11.92,61,7,66.5,111,1,1,1,1,0,1,1,0,10775,-58.0,12.3
17:39:33.793 -> 0.0000000,0.0000000,-17.000,243.51,0.00,-0.02,-0.01,0.0,0.0,0.0,-512.0,93.6,512.0,0.01178,0.01813,-0.97778,0.20856,47.54,984.3,12.21,62,7,66.5,111,1,1,1,1,0,1,1,0,32035,-61.0,9.5
17:39:51.944 -> 0.0000000,0.0000000,-17.000,237.28,0.00,0.00,-0.01,0.0,0.0,0.0,76.8,241.1,-512.0,0.01831,0.02045,0.97760,0.20856,27.82,985.1,40.81,145,2,29.0,111,1,1,1,1,0,1,1,0,6295,-74.0,12.8
17:40:04.799 -> 0.0000000,0.0000000,-17.000,243.15,0.00,-0.02,-0.01,0.0,0.0,0.0,-512.0,92.8,512.0,0.01160,0.01831,-0.97772,0.20869,47.63,984.4,12.20,63,7,67.0,111,1,1,1,1,0,1,1,0,13750,-59.0,9.8
17:40:35.848 -> 0.0000000,0.0000000,-17.000,242.76,-0.01,0.02,-0.01,0.0,0.0,0.0,-512.0,92.5,512.0,0.01147,0.01807,-0.97766,0.20899,47.23,984.4,12.49,64,7,67.0,111,1,1,1,1,0,1,1,0,45874,-56.0,12.3
17:41:07.812 -> 0.0000000,0.0000000,-17.000,242.72,-0.02,-0.02,-0.01,0.0,0.0,0.0,-512.0,92.4,512.0,0.01160,0.01831,-0.97772,0.20893,47.62,984.4,12.22,65,7,67.0,111,1,1,1,1,0,1,1,0,59476,-58.0,12.8
