Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
18:49:54.016 -> 0.0000000,0.0000000,-17.000,262.84,0.00,0.00,0.01,0.0,0.1,0.0,27.3,-82.7,30.0,0.15271,0.57298,0.78069,0.19709,26.52,982.1,32.96,4,2,69.5,111,1,1,1,1,0,1,1,0,54686,-61.0,10.3
18:50:04.028 -> 0.0000000,0.0000000,-17.000,262.24,0.00,0.00,-0.04,0.1,-0.1,0.0,28.4,-83.1,30.4,0.15259,0.57329,0.78045,0.19721,26.52,982.1,32.93,5,2,69.5,111,1,1,1,1,0,1,1,0,23181,-61.0,10.3
18:50:14.045 -> 0.0000000,0.0000000,-17.000,262.10,0.00,0.00,0.01,0.0,0.0,0.0,26.2,-83.1,29.6,0.14960,0.57378,0.78173,0.19312,26.49,982.2,32.98,6,2,69.5,111,1,1,1,1,0,1,1,0,50305,-59.0,10.5
18:50:24.058 -> 0.0000000,0.0000000,-17.000,262.25,0.00,0.04,0.01,0.0,0.0,0.0,25.8,-82.3,30.8,0.15448,0.57262,0.77996,0.19971,26.48,982.1,33.03,7,2,69.5,111,1,1,1,1,0,1,1,0,2227,-60.0,11.3
18:50:34.072 -> 0.0000000,0.0000000,-17.000,261.88,-0.03,0.00,0.01,0.0,0.0,0.0,25.8,-82.7,30.4,0.15229,0.57329,0.78057,0.19715,26.47,982.2,33.06,8,2,69.5,111,1,1,1,1,0,1,1,0,34555,-59.0,11.0
18:50:44.080 -> 0.0000000,0.0000000,-17.000,261.98,0.00,0.00,0.00,0.0,0.0,0.0,27.3,-81.6,31.6,0.15326,0.57274,0.78045,0.19825,26.47,982.2,33.08,9,2,69.5,111,1,1,1,1,0,1,1,0,15866,-61.0,9.8
18:50:54.087 -> 0.0000000,0.0000000,-17.000,261.99,0.00,0.00,0.00,0.0,0.0,0.0,28.4,-81.9,32.4,0.14771,0.57421,0.78240,0.19062,26.50,982.2,33.03,10,2,69.5,111,1,1,1,1,0,1,1,0,65119,-60.0,10.3
18:51:04.101 -> 0.0000000,0.0000000,-17.000,262.27,0.00,0.00,0.01,0.0,0.0,0.0,28.1,-81.9,31.6,0.14777,0.57451,0.78222,0.19037,26.49,982.1,33.05,11,2,69.5,111,1,1,1,1,0,1,1,0,64027,-59.0,10.5
18:51:21.790 -> 0.0000000,0.0000000,-17.000,262.07,0.00,0.00,0.01,0.0,0.0,0.0,26.9,-83.0,29.6,0.00000,0.00000,0.00000,1.00000,26.47,982.2,33.22,0,2,68.5,103,1,1,1,0,0,1,1,0,61172,-57.0,13.5
18:51:31.806 -> 0.0000000,0.0000000,-17.000,262.12,0.00,0.00,0.00,0.0,0.0,0.0,26.6,-81.9,32.8,0.14826,0.57414,0.78204,0.19160,26.45,982.2,33.22,1,2,68.5,111,1,1,1,1,0,1,1,0,37979,-58.0,13.3
18:51:41.808 -> 0.0000000,0.0000000,-17.000,262.29,0.00,0.00,0.01,0.0,0.0,0.0,28.4,-81.9,29.6,0.15552,0.57244,0.77953,0.20112,26.47,982.1,33.20,2,2,68.5,111,1,1,1,1,0,1,1,0,22128,-58.0,13.0
18:51:51.813 -> 0.0000000,0.0000000,-17.000,262.02,0.00,0.00,0.01,0.0,0.0,0.0,24.3,-83.1,31.2,0.14887,0.57451,0.78161,0.19190,26.47,982.2,33.17,3,2,68.5,111,1,1,1,1,0,1,1,0,11525,-57.0,13.5
18:52:01.821 -> 0.0000000,0.0000000,-17.000,261.93,0.00,0.00,0.01,0.0,0.0,0.0,25.4,-82.7,30.4,0.16065,0.57060,0.77795,0.20832,26.45,982.2,33.20,4,2,68.5,111,1,1,1,1,0,1,1,0,27670,-57.0,13.5
18:52:11.831 -> 0.0000000,0.0000000,-17.000,262.11,0.00,0.00,0.00,0.0,0.0,0.0,25.4,-82.7,30.8,0.15186,0.57341,0.78082,0.19605,26.45,982.2,33.22,5,2,68.5,111,1,1,1,1,0,1,1,0,54322,-58.0,13.0
18:52:21.843 -> 0.0000000,0.0000000,-17.000,262.04,-0.04,0.00,0.02,0.0,0.0,0.0,26.9,-81.6,30.4,0.15296,0.57323,0.78033,0.19758,26.45,982.2,33.25,6,2,68.5,111,1,1,1,1,0,1,1,0,63804,-57.0,13.0
